district,number sat for 5 or more subjects,qualified for a_l,percentage qualified for a_l,failed in all subjects,percentage failed in all subjects
Matara,12038,9871,82,103,0.86
Hambantota,9120,7387,81,93,1.02
Colombo,32686,26213,80.2,609,1.86
Kurunegala,23871,18873,79.06,391,1.64
Galle,15562,12274,78.87,213,1.37
Kegalle,12068,9280,76.9,250,2.07
Ratnapura,15226,11504,75.55,308,2.02
Kandy,21414,16127,75.31,415,1.94
Mannar,1631,1227,75.23,8,0.49
Kalutara,17010,12650,74.37,340,2
Ampara,10021,7437,74.21,198,1.98
Badulla,12770,9462,74.1,248,1.94
Gampaha,28375,20995,73.99,646,2.28
Anuradhapura,13531,9909,73.23,348,2.57
Vavuniya,2543,1853,72.87,35,1.38
Matale,7253,5261,72.54,173,2.39
Puttalam,10693,7726,72.25,150,1.4
Jaffna,8495,6096,71.76,240,2.83
Polonnaruwa,5864,4207,71.74,149,2.54
Monaragala,6909,4783,69.23,226,3.27
Batticaloa,8095,5564,68.73,138,1.7
Nuwara Eliya,10958,7292,66.54,306,2.79
Mullaitivu,1833,1182,64.48,58,3.16
Trincomalee,5906,3806,64.44,188,3.18
Kilinochchi,2157,1302,60.36,84,3.89
All Island,296029,222281,75.09,5917,2
